<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230323,204000,158.56,158.89,158.46,158.74,581905,0
AAPL.US,5,20230323,204500,158.75,159.31,158.7093,158.91,1040467,0
AAPL.US,5,20230323,205000,158.91,159.64,158.91,159.13,1305722,0
AAPL.US,5,20230323,205500,159.145,159.2868,158.86,158.93,9437014,0
AAPL.US,5,20230324,143000,158.86,159.12,158.18,158.301,1368335,0
AAPL.US,5,20230324,143500,158.305,158.39,157.93,158.119,799154,0
AAPL.US,5,20230324,144000,158.12,158.4599,157.85,158.355,890881,0
AAPL.US,5,20230324,144500,158.37,158.62,158,158.16,959032,0
AAPL.US,5,20230324,145000,158.15,159.14,158.13,158.91,926921,0
AAPL.US,5,20230324,145500,158.91,159.39,158.91,159.19,847969,0
AAPL.US,5,20230324,150000,159.2,159.42,159.06,159.13,737519,0
AAPL.US,5,20230324,150500,159.12,159.43,158.78,158.9906,868200,0
AAPL.US,5,20230324,151000,158.99,159.56,158.88,159.22,775098,0
AAPL.US,5,20230324,151500,159.21,159.21,158.4,158.5876,790233,0
AAPL.US,5,20230324,152000,158.575,158.65,158.25,158.55,591381,0
AAPL.US,5,20230324,152500,158.54,159.03,158.47,159.02,726749,0
AAPL.US,5,20230324,153000,159.03,159.11,158.8,158.94,497646,0
AAPL.US,5,20230324,153500,158.96,159.15,158.74,158.936,551698,0
AAPL.US,5,20230324,154000,158.9307,158.9307,158.76,158.86,415749,0
AAPL.US,5,20230324,154500,158.87,159.08,158.66,158.73,551786,0
AAPL.US,5,20230324,155000,158.72,158.9699,158.64,158.8301,510561,0
AAPL.US,5,20230324,155500,158.83,159.17,158.715,159.17,584303,0
AAPL.US,5,20230324,160000,159.18,159.4,159.03,159.2985,567465,0
AAPL.US,5,20230324,160500,159.2907,159.4,158.71,158.765,637648,0
AAPL.US,5,20230324,161000,158.7684,158.7684,158.28,158.37,686825,0
AAPL.US,5,20230324,161500,158.37,158.59,158.24,158.2976,539382,0
AAPL.US,5,20230324,162000,158.295,158.4657,158.11,158.2039,653991,0
AAPL.US,5,20230324,162500,158.2199,158.42,158.1601,158.3,467716,0
AAPL.US,5,20230324,163000,158.29,158.34,158.05,158.18,529742,0
AAPL.US,5,20230324,163500,158.18,158.43,158.175,158.31,384065,0
AAPL.US,5,20230324,164000,158.33,158.46,158.23,158.31,281842,0
AAPL.US,5,20230324,164500,158.313,159.14,158.3,158.82,790010,0
AAPL.US,5,20230324,165000,158.8073,158.945,158.72,158.8442,414251,0
AAPL.US,5,20230324,165500,158.84,159.19,158.79,159.1,561668,0
AAPL.US,5,20230324,170000,159.095,159.47,158.81,158.96,741672,0
AAPL.US,5,20230324,170500,158.95,158.99,158.605,158.64,372423,0
AAPL.US,5,20230324,171000,158.65,158.6953,158.44,158.48,359278,0
AAPL.US,5,20230324,171500,158.47,158.61,158.21,158.37,442883,0
AAPL.US,5,20230324,172000,158.3635,158.4,158.18,158.32,383335,0
AAPL.US,5,20230324,172500,158.33,158.43,158.21,158.4,410750,0
AAPL.US,5,20230324,173000,158.4,158.53,158.31,158.4899,349436,0
AAPL.US,5,20230324,173500,158.5,158.68,158.29,158.59,442105,0
AAPL.US,5,20230324,174000,158.6,158.7,158.36,158.63,277393,0
AAPL.US,5,20230324,174500,158.63,158.92,158.62,158.84,391682,0
AAPL.US,5,20230324,175000,158.85,158.87,158.6,158.705,281400,0
AAPL.US,5,20230324,175500,158.7,158.98,158.7,158.7499,307883,0
AAPL.US,5,20230324,180000,158.74,158.865,158.6,158.72,259569,0
AAPL.US,5,20230324,180500,158.73,158.9,158.565,158.65,297922,0
AAPL.US,5,20230324,181000,158.65,158.93,158.63,158.905,288482,0
AAPL.US,5,20230324,181500,158.91,158.97,158.71,158.79,293646,0
AAPL.US,5,20230324,182000,158.785,159.12,158.77,159.11,431214,0
AAPL.US,5,20230324,182500,159.12,159.44,159.07,159.33,626786,0
AAPL.US,5,20230324,183000,159.32,159.55,159.31,159.345,510847,0
AAPL.US,5,20230324,183500,159.3486,159.61,159.31,159.5389,422740,0
AAPL.US,5,20230324,184000,159.54,159.67,159.28,159.3801,560572,0
AAPL.US,5,20230324,184500,159.405,159.41,159,159.0074,447608,0
AAPL.US,5,20230324,185000,159.0001,159.08,158.94,159,299726,0
AAPL.US,5,20230324,185500,159,159.16,158.92,159.15,344485,0
AAPL.US,5,20230324,190000,159.15,159.375,159.15,159.3099,384174,0
AAPL.US,5,20230324,190500,159.31,159.385,159.102,159.28,345779,0
AAPL.US,5,20230324,191000,159.27,159.46,159.18,159.42,340533,0
AAPL.US,5,20230324,191500,159.42,159.6,159.37,159.48,378868,0
AAPL.US,5,20230324,192000,159.48,159.59,159.35,159.41,389049,0
AAPL.US,5,20230324,192500,159.42,159.59,159.38,159.56,250354,0
AAPL.US,5,20230324,193000,159.5691,159.9371,159.52,159.82,584306,0
AAPL.US,5,20230324,193500,159.8,159.93,159.58,159.85,437760,0
AAPL.US,5,20230324,194000,159.85,159.95,159.76,159.9,496368,0
AAPL.US,5,20230324,194500,159.91,159.95,159.73,159.8293,397010,0
AAPL.US,5,20230324,195000,159.8212,159.83,159.62,159.65,288501,0
AAPL.US,5,20230324,195500,159.64,159.8091,159.62,159.6731,335285,0
AAPL.US,5,20230324,200000,159.68,159.73,159.4299,159.5533,380137,0
AAPL.US,5,20230324,200500,159.5584,159.57,159.36,159.5,305362,0
AAPL.US,5,20230324,201000,159.495,159.63,159.38,159.4495,386337,0
AAPL.US,5,20230324,201500,159.445,159.82,159.41,159.7795,411560,0
AAPL.US,5,20230324,202000,159.79,160.06,159.73,159.7796,841138,0
AAPL.US,5,20230324,202500,159.78,159.93,159.71,159.8414,479433,0
AAPL.US,5,20230324,203000,159.845,159.93,159.73,159.86,436049,0
AAPL.US,5,20230324,203500,159.85,160.02,159.74,159.88,638993,0
AAPL.US,5,20230324,204000,159.884,160.06,159.82,159.99,503362,0
AAPL.US,5,20230324,204500,159.985,160.03,159.77,159.88,485261,0
AAPL.US,5,20230324,205000,159.885,160,159.76,159.9024,724382,0
AAPL.US,5,20230324,205500,159.89,160.34,159.81,160.25,8103418,0
AAPL.US,5,20230327,153000,159.94,160.319,159.65,159.72,1933698,0
AAPL.US,5,20230327,153500,159.75,159.93,159.45,159.6529,967089,0
AAPL.US,5,20230327,154000,159.65,160.4677,159.65,160.3884,978051,0
AAPL.US,5,20230327,154500,160.39,160.57,160.29,160.352,924849,0
AAPL.US,5,20230327,155000,160.36,160.77,160.26,160.39,896594,0
AAPL.US,5,20230327,155500,160.385,160.65,160.29,160.365,718939,0
AAPL.US,5,20230327,160000,160.37,160.655,160.3687,160.62,516880,0
AAPL.US,5,20230327,160500,160.62,160.72,160.51,160.5624,628203,0
AAPL.US,5,20230327,161000,160.5626,160.68,160.045,160.09,859365,0
AAPL.US,5,20230327,161500,160.1,160.28,159.96,160.21,565028,0
