<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230131,193000,143.42,143.475,143.385,143.425,191554,0
AAPL.US,5,20230131,193500,143.42,143.44,143.2999,143.425,181528,0
AAPL.US,5,20230131,194000,143.43,143.53,143.4,143.44,237801,0
AAPL.US,5,20230131,194500,143.44,143.63,143.4,143.5501,260199,0
AAPL.US,5,20230131,195000,143.57,143.65,143.56,143.625,313455,0
AAPL.US,5,20230131,195500,143.63,143.74,143.585,143.63,335811,0
AAPL.US,5,20230131,200000,143.625,143.705,143.53,143.575,277524,0
AAPL.US,5,20230131,200500,143.58,143.9,143.56,143.87,404963,0
AAPL.US,5,20230131,201000,143.8653,143.91,143.685,143.72,268527,0
AAPL.US,5,20230131,201500,143.715,143.805,143.61,143.77,237921,0
AAPL.US,5,20230131,202000,143.77,143.89,143.745,143.7815,285357,0
AAPL.US,5,20230131,202500,143.7801,143.83,143.7601,143.825,181928,0
AAPL.US,5,20230131,203000,143.83,143.94,143.79,143.86,283601,0
AAPL.US,5,20230131,203500,143.865,143.938,143.81,143.93,257518,0
AAPL.US,5,20230131,204000,143.925,143.99,143.865,143.9501,315348,0
AAPL.US,5,20230131,204500,143.94,144,143.87,143.9401,283386,0
AAPL.US,5,20230131,205000,143.94,143.99,143.84,143.85,323448,0
AAPL.US,5,20230131,205500,143.85,143.91,143.81,143.86,242528,0
AAPL.US,5,20230131,210000,143.87,144,143.84,143.9379,384608,0
AAPL.US,5,20230131,210500,143.94,144.04,143.88,143.9099,404116,0
AAPL.US,5,20230131,211000,143.91,143.956,143.645,143.7501,417728,0
AAPL.US,5,20230131,211500,143.76,143.77,143.3715,143.56,510159,0
AAPL.US,5,20230131,212000,143.5603,143.65,143.44,143.5,423043,0
AAPL.US,5,20230131,212500,143.5,143.56,143.26,143.305,476203,0
AAPL.US,5,20230131,213000,143.305,143.58,143.295,143.555,454807,0
AAPL.US,5,20230131,213500,143.555,143.57,143.42,143.4281,389432,0
AAPL.US,5,20230131,214000,143.43,143.542,143.34,143.455,622097,0
AAPL.US,5,20230131,214500,143.45,143.53,143.12,143.1601,697344,0
AAPL.US,5,20230131,215000,143.165,144.18,143.15,144.04,2146924,0
AAPL.US,5,20230131,215500,144.02,144.34,143.87,144.29,17893821,0
AAPL.US,5,20230201,153000,143.97,144,142.8402,142.88,1847223,0
AAPL.US,5,20230201,153500,142.87,143.12,142.64,142.91,951500,0
AAPL.US,5,20230201,154000,142.9038,143.3,142.85,142.9539,877840,0
AAPL.US,5,20230201,154500,142.9401,143.125,142.59,142.6268,863607,0
AAPL.US,5,20230201,155000,142.615,143.23,142.59,142.9899,904129,0
AAPL.US,5,20230201,155500,142.97,143.255,142.92,143.19,587613,0
AAPL.US,5,20230201,160000,143.19,143.27,142.71,143.09,782994,0
AAPL.US,5,20230201,160500,143.09,143.24,142.78,142.979,612253,0
AAPL.US,5,20230201,161000,142.9729,143.38,142.91,143.325,599784,0
AAPL.US,5,20230201,161500,143.32,143.3999,142.975,143.1,577585,0
AAPL.US,5,20230201,162000,143.09,143.2485,142.905,143.0599,623123,0
AAPL.US,5,20230201,162500,143.054,143.13,142.83,142.96,437484,0
AAPL.US,5,20230201,163000,142.97,143.275,142.86,143.08,559843,0
AAPL.US,5,20230201,163500,143.08,143.08,142.84,142.915,552415,0
AAPL.US,5,20230201,164000,142.9105,143.09,142.78,142.791,526280,0
AAPL.US,5,20230201,164500,142.79,142.8739,142.52,142.64,810523,0
AAPL.US,5,20230201,165000,142.6452,142.67,142.35,142.58,563558,0
AAPL.US,5,20230201,165500,142.6,142.6299,142.43,142.58,405310,0
AAPL.US,5,20230201,170000,142.59,142.715,142.33,142.595,668818,0
AAPL.US,5,20230201,170500,142.5943,142.785,142.55,142.67,344989,0
AAPL.US,5,20230201,171000,142.675,142.875,142.61,142.87,350717,0
AAPL.US,5,20230201,171500,142.87,142.9199,142.79,142.8,317232,0
AAPL.US,5,20230201,172000,142.79,143.02,142.71,142.82,459801,0
AAPL.US,5,20230201,172500,142.8299,142.96,142.79,142.91,288343,0
AAPL.US,5,20230201,173000,142.91,143.005,142.85,142.95,307080,0
AAPL.US,5,20230201,173500,142.95,142.98,142.78,142.9311,264962,0
AAPL.US,5,20230201,174000,142.93,142.9836,142.82,142.865,258897,0
AAPL.US,5,20230201,174500,142.8629,142.885,142.725,142.77,295691,0
AAPL.US,5,20230201,175000,142.7603,142.77,142.42,142.42,545767,0
AAPL.US,5,20230201,175500,142.4234,142.4883,142.255,142.34,569350,0
AAPL.US,5,20230201,180000,142.34,142.44,142.15,142.175,522238,0
AAPL.US,5,20230201,180500,142.17,142.17,141.82,141.932,949933,0
AAPL.US,5,20230201,181000,141.94,142.2,141.87,141.915,637223,0
AAPL.US,5,20230201,181500,141.905,141.92,141.72,141.83,456398,0
AAPL.US,5,20230201,182000,141.82,141.945,141.76,141.8801,370884,0
AAPL.US,5,20230201,182500,141.885,142,141.81,141.96,418630,0
AAPL.US,5,20230201,183000,141.9517,142.1,141.9515,142.03,343377,0
AAPL.US,5,20230201,183500,142.035,142.17,141.9694,142.0913,421602,0
AAPL.US,5,20230201,184000,142.095,142.25,142.085,142.2402,485983,0
AAPL.US,5,20230201,184500,142.245,142.2485,142.07,142.1563,343683,0
AAPL.US,5,20230201,185000,142.155,142.23,142.11,142.1872,236632,0
AAPL.US,5,20230201,185500,142.19,142.27,142.11,142.19,245184,0
AAPL.US,5,20230201,190000,142.18,142.1901,142.02,142.0987,282576,0
